role,KSA ID,description
Knowledge,K0570,Knowledge of the factors of threat that could impact collection operations.
Knowledge,K0548,Knowledge of target or threat cyber actors and procedures.
Knowledge,K0607,Knowledge of translation processes and techniques.
Knowledge,K0574,Knowledge of the impact of language analysis on on-net operator functions.
Knowledge,K0398,"Knowledge of concepts related to websites (e.g., web servers/pages, hosting, DNS, registration, web languages such as HTML)."
Knowledge,K0606,"Knowledge of transcript development processes and techniques (e.g., verbatim, gist, summaries)."
Skill,S0032,"Skill in developing, testing, and implementing network infrastructure contingency and recovery plans."
Skill,S0047,Skill in preserving evidence integrity according to standard operating procedures or national standards.
Skill,S0068,"Skill in collecting, processing, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data."
Skill,S0075,"Skill in conducting forensic analyses in multiple operating system environments (e.g., mobile device systems)."
Skill,S0065,"Skill in identifying and extracting data of forensic interest in diverse media (i.e., media forensics)."
Skill,S0069,Skill in setting up a forensic workstation.
Skill,S0071,"Skill in using forensic tool suites (e.g., EnCase, Sleuthkit, FTK)."
Skill,S0090,Skill in analyzing anomalous code as malicious or benign.
Skill,S0091,Skill in analyzing volatile data.
Skill,S0060,"Skill in writing code in a currently supported programming language (e.g., Java, C++)."
Skill,S0053,Skill in tuning sensors.
Skill,S0098,WITHDRAWN: Skill in detecting host and network based intrusions via intrusion detection technologies. (See S0025)
Skill,S0092,Skill in identifying obfuscation techniques.
Skill,S0093,"Skill in interpreting results of debugger to ascertain tactics, techniques, and procedures."
Skill,S0074,Skill in physically disassembling PCs.
Skill,S0359,Skill to use critical thinking to analyze organizational patterns and relationships.
Skill,S0072,Skill in using scientific rules and methods to solve problems.
Skill,S0354,Skill in creating policies that reflect the business’s core privacy objectives.
Skill,S0089,"Skill in one-way hash functions (e.g., Secure Hash Algorithm [SHA], Message Digest Algorithm [MD5])."
Skill,S0006,"Skill in applying confidentiality, integrity, and availability principles."
Skill,S0372,"Skill to translate, track, and prioritize information needs and intelligence collection requirements across the extended enterprise."
Skill,S0076,"Skill in configuring and utilizing software-based computer protection tools (e.g., software firewalls, antivirus software, anti-spyware)."
Skill,S0097,Skill in applying security controls.
Skill,S0066,Skill in identifying gaps in technical capabilities.
Skill,S0166,Skill in identifying gaps in technical delivery capabilities.
Skill,S0271,Skill in reviewing and editing assessment products.
Skill,S0038,"Skill in identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
Skill,S0085,Skill in conducting audits or reviews of technical systems.
Skill,S0356,"Skill in communicating with all levels of management including Board members (e.g., interpersonal skills, approachability, effective listening skills, appropriate use of style and language for the audience). "
Skill,S0055,Skill in using knowledge management technologies.
Skill,S0004,Skill in analyzing network traffic capacity and performance characteristics.
Skill,S0056,"Skill in using network management tools to analyze network traffic patterns (e.g., simple network management protocol)."
Skill,S0084,"Skill in configuring and utilizing network protection components (e.g., Firewalls, VPNs, network intrusion detection systems)."
Skill,S0184,Skill in analyzing traffic to identify network devices.
Skill,S0067,"Skill in identifying, modifying, and manipulating applicable system components within Windows, Unix, or Linux (e.g., passwords, user accounts, files)."
Skill,S0070,Skill in talking to others to convey information effectively.
Skill,S0018,Skill in creating policies that reflect system security objectives.
Skill,S0296,"Skill in utilizing feedback to improve processes, products, and services."
Skill,S0073,"Skill in using virtual machines. (e.g., Microsoft Hyper-V, VMWare vSphere, Citrix XenDesktop/Server, Amazon Elastic Compute Cloud, etc.)."
Skill,S0121,"Skill in system, network, and OS hardening techniques. (e.g., remove unnecessary services, password policies, network segmentation, enable logging, least privilege, etc.)."
Skill,S0062,Skill in analyzing memory dumps to extract information.
Skill,S0293,"Skill in using tools, techniques, and procedures to remotely exploit and establish persistence on a target."
Skill,S0064,Skill in developing and executing technical training programs and curricula.
Skill,S0102,Skill in applying technical delivery capabilities.
Skill,S0100,"Skill in utilizing or developing learning activities (e.g., scenarios, instructional games, interactive exercises). "
Skill,S0101,"Skill in utilizing technologies (e.g., SmartBoards, websites, computers, projectors) for instructional purposes. "
Skill,S0358,Skill to remain aware of evolving technical infrastructures.
Skill,S0086,Skill in evaluating the trustworthiness of the supplier and/or product.
Skill,S0355,Skill in negotiating vendor agreements and evaluating vendor privacy practices.
Skill,S0052,"Skill in the use of social engineering techniques. (e.g., phishing, baiting, tailgating, etc.)."
Skill,S0131,Skill in analyzing malware.
Skill,S0270,"Skill in reverse engineering (e.g., hex editing, binary packaging utilities, debugging, and strings analysis) to identify function and ownership of remote tools."
Skill,S0357,Skill to anticipate new security threats.
Skill,S0087,"Skill in deep analysis of captured malicious code (e.g., malware forensics)."
Skill,S0088,"Skill in using binary analysis tools (e.g., Hexedit, command code xxd, hexdump)."
Skill,S0001,Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems.
Skill,S0051,Skill in the use of penetration testing tools and techniques.
Skill,S0057,Skill in using protocol analyzers.
Skill,S0081,"Skill in using network analysis tools to identify vulnerabilities. (e.g., fuzzing, nmap, etc.)."
Skill,S0156,Skill in performing packet-level analysis.
Skill,S0046,"Skill in performing packet-level analysis using appropriate tools (e.g., Wireshark, tcpdump)."
Skill,S0176,"Skill in administrative planning activities, to include preparation of functional and specific support plans, preparing and managing correspondence, and staffing procedures."
Skill,S0108,Skill in developing workforce and position qualification standards.
Skill,S0128,Skill in using manpower and personnel IT systems.
Skill,S0281,Skill in technical writing.
Skill,S0301,"Skill in writing about facts and ideas in a clear, convincing, and organized manner."
Skill,S0250,Skill in preparing plans and related correspondence.
Skill,S0186,Skill in applying crisis planning procedures.
Skill,S0201,"Skill in creating plans in support of remote operations. (i.e., hot/warm/cold/alternative sites, disaster recovery)."
Skill,S0244,"Skill in managing client relationships, including determining client needs/requirements, managing client expectations, and demonstrating commitment to delivering quality results."
Skill,S0260,Skill in recognizing midpoint opportunities and essential information.
Skill,S0257,"Skill in reading, interpreting, writing, modifying, and executing simple scripts (e.g., PERL, VBS) on Windows and Unix systems (e.g., those that perform tasks like parsing large data files, automating manual tasks, and fetching/processing remote data)."
Skill,S0266,"Skill in relevant programming languages (e.g., C++, Python, etc.). "
Skill,S0239,Skill in interpreting compiled and interpretive programming languages.
Skill,S0258,Skill in recognizing and interpreting malicious network activity in traffic.
Skill,S0309,Skill to anticipate key target or threat activities which are likely to prompt a leadership decision.
Skill,S0183,Skill in analyzing terminal or environment collection data.
Skill,S0252,Skill in processing collected data for follow-on analysis.
Skill,S0363,Skill to analyze and assess internal and external partner reporting.
Skill,S0218,"Skill in evaluating information for reliability, validity, and relevance."
Skill,S0194,Skill in conducting non-attributable research.
Skill,S0227,Skill in identifying alternative analytical interpretations to minimize unanticipated outcomes.
Skill,S0288,"Skill in using multiple analytic tools, databases, and techniques (e.g., Analyst’s Notebook, A-Space, Anchory, M3, divergent/convergent thinking, link charts, matrices, etc.)."
Skill,S0187,"Skill in applying various analytical methods, tools, and techniques (e.g., competing hypotheses; chain of reasoning; scenario methods; denial and deception detection; high impact-low probability; network/association or link analysis; Bayesian, Delphi, and Pattern analyses)."
Skill,S0196,Skill in conducting research using deep web.
Skill,S0181,Skill in analyzing midpoint collection data.
Skill,S0197,"Skill in conducting social network analysis, buddy list analysis, and/or cookie analysis."
Skill,S0261,Skill in recognizing relevance of information.
Skill,S0263,Skill in recognizing technical information that may be used for leads for metadata analysis.
Skill,S0268,Skill in researching essential information.
Skill,S0277,"Skill in synthesizing, analyzing, and prioritizing meaning across data sets."
Skill,S0202,"Skill in data mining techniques (e.g., searching file systems) and analysis."
Skill,S0295,"Skill in using various open source data collection tools (online trade, DNS, mail, etc.)."
Skill,S0200,Skill in creating collection requirements in support of data acquisition activities.
Skill,S0240,Skill in interpreting metadata and content as applied by collection systems.
Skill,S0287,Skill in using geospatial data and applying geospatial resources.
Skill,S0217,"Skill in evaluating data sources for relevance, reliability, and objectivity."
Skill,S0286,Skill in using databases to identify target-relevant information.
Skill,S0292,Skill in using targeting databases and software packages.
Skill,S0220,Skill in exploiting/querying organizational and/or partner collection databases.
Skill,S0298,"Skill in verifying the integrity of all files. (e.g., checksums, Exclusive OR, secure hashes, check constraints, etc.)."
Skill,S0278,"Skill in tailoring analysis to the necessary levels (e.g., classification and organizational)."
Skill,S0219,"Skill in evaluating information to recognize relevance, priority, etc."
Skill,S0190,Skill in assessing current tools to identify needed improvements.
Skill,S0282,Skill in testing and evaluating tools for implementation.
Skill,S0360,Skill to analyze and assess internal and external partner cyber operations capabilities and tools.
Skill,S0191,Skill in assessing the applicability of available analytical tools to various situations.
Skill,S0236,Skill in identifying the devices that work at each level of protocol models.
Skill,S0214,Skill in evaluating accesses for intelligence value.
Skill,S0247,Skill in performing data fusion from existing intelligence for enabling new and continued collection.
Skill,S0264,"Skill in recognizing technical information that may be used for leads to enable remote operations (data includes users, passwords, email addresses, IP ranges of the target, frequency in DNI behavior, mail servers, domain servers, SMTP header information)."
Skill,S0361,Skill to analyze and assess internal and external partner intelligence processes and the development of information requirements and essential information.
Skill,S0243,"Skill in knowledge management, including technical documentation techniques (e.g., Wiki page)."
Skill,S0285,Skill in using Boolean operators to construct simple and complex queries.
Skill,S0246,Skill in number normalization.
Skill,S0192,"Skill in auditing firewalls, perimeters, routers, and intrusion detection systems."
Skill,S0204,Skill in depicting source or collateral data on a network map.
Skill,S0207,Skill in determining the effect of various router and firewall configurations on traffic patterns and network performance in both LAN and WAN environments.
Skill,S0245,Skill in navigating network visualization software.
Skill,S0294,Skill in using trace route tools and interpreting the results as they apply to network analysis and reconstruction.
Skill,S0208,Skill in determining the physical location of network devices.
Skill,S0178,"Skill in analyzing essential network data (e.g., router configuration files, routing protocols)."
Skill,S0267,Skill in remote command line and Graphic User Interface (GUI) tool usage.
Skill,S0322,Skill to craft indicators of operational progress/success.
Skill,S0209,Skill in developing and executing comprehensive cyber operations assessment programs for assessing and validating operational performance characteristics.
Skill,S0223,Skill in generating operation plans in support of mission and target requirements.
Skill,S0290,Skill in using non-attributable networks.
Skill,S0189,Skill in assessing and/or estimating effects generated during and after cyber operations.
Skill,S0203,Skill in defining and characterizing all pertinent aspects of the operational environment.
Skill,S0249,Skill in preparing and presenting briefings.
Skill,S0297,"Skill in utilizing virtual collaborative workspaces and/or tools (e.g., IWS, VTCs, chat rooms, SharePoint)."
Skill,S0333,Skill to graphically depict decision support materials containing intelligence and partner capability estimates.
Skill,S0211,Skill in developing or recommending analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.
Skill,S0312,Skill to apply the process used to assess the performance and impact of cyber operations.
Skill,S0349,Skill to synchronize operational assessment procedures with the critical information requirement process.
Skill,S0185,Skill in applying analytical methods typically employed to support planning and to justify recommended strategies and courses of action.
Skill,S0273,Skill in reviewing and editing plans.
Skill,S0326,Skill to distinguish between notional and actual resources and their applicability to the plan under development.
Skill,S0216,Skill in evaluating available capabilities against desired effects to provide effective courses of action.
Skill,S0206,Skill in determining installed patches on various operating systems and identifying patch signatures.
Skill,S0275,Skill in server administration.
Skill,S0182,Skill in analyzing target communications internals and externals collected from wireless LANs.
Skill,S0255,"Skill in providing real-time, actionable geolocation information utilizing target infrastructures."
Skill,S0299,"Skill in wireless network target analysis, templating, and geolocation."
Skill,S0237,"Skill in identifying, locating, and tracking targets via geospatial analysis techniques"
Skill,S0279,Skill in target development in direct support of collection operations.
Skill,S0228,"Skill in identifying critical target elements, to include critical target elements for the cyber domain."
Skill,S0256,"Skill in providing understanding of target or threat systems through the identification and link analysis of physical, functional, or behavioral relationships."
Skill,S0205,Skill in determining appropriate targeting options through the evaluation of available capabilities against desired effects.
Skill,S0222,Skill in fusion analysis 
Skill,S0248,Skill in performing target system analysis.
Skill,S0177,Skill in analyzing a target's communication networks.
Skill,S0225,Skill in identifying a target’s communications networks.
Skill,S0231,Skill in identifying how a target communicates.
Skill,S0234,Skill in identifying leads for target development.
Skill,S0259,Skill in recognizing denial and deception techniques of the target.
Skill,S0262,Skill in recognizing significant changes in a target’s communication patterns.
Skill,S0280,"Skill in target network anomaly identification (e.g., intrusions, dataflow or processing, target implementation of new technologies)."
Skill,S0291,"Skill in using research methods including multiple, different sources to reconstruct a target network."
Skill,S0276,"Skill in survey, collection, and analysis of wireless LAN metadata."
Skill,S0229,Skill in identifying cyber threats which may jeopardize organization and/or partner interests.
Skill,S0221,Skill in extracting information from packet captures.
Skill,S0242,Skill in interpreting vulnerability scanner results to identify vulnerabilities.
Skill,S0199,Skill in creating and extracting important information from packet captures.
Skill,S0269,Skill in researching vulnerabilities and exploits utilized in traffic.
Skill,S0289,"Skill in using multiple search engines (e.g., Google, Yahoo, LexisNexis, DataStar) and tools in conducting open-source searches."
Skill,S0213,Skill in documenting and communicating complex technical and programmatic information.
Skill,S0300,Skill in writing (and submitting) requirements to meet gaps in technical capabilities.
Skill,S0254,Skill in providing analysis to aid writing phased after action reports.
Skill,S0303,"Skill in writing, reviewing and editing cyber-related Intelligence/assessment products from multiple sources."
Skill,S0274,Skill in reviewing and editing target materials.
Skill,S0302,Skill in writing effectiveness reports.
Skill,S0304,"Skill to access information on current assets available, usage."
Skill,S0133,"Skill in processing digital evidence, to include protecting and making legally sound copies of evidence."
Skill,S0120,Skill in reviewing logs to identify evidence of past intrusions.
Skill,S0020,Skill in developing and deploying signatures.
Skill,S0025,"Skill in detecting host and network based intrusions via intrusion detection technologies (e.g., Snort)."
Skill,S0096,"Skill in reading and interpreting signatures (e.g., snort)."
Skill,S0147,"Skill in assessing security controls based on cybersecurity principles and tenets. (e.g., CIS CSC, NIST SP 800-53, Cybersecurity Framework, etc.)."
Skill,S0370,Skill to use cyber defense Service Provider reporting structure and processes within one’s own organization.
Skill,S0079,"Skill in protecting a network against malware. (e.g., NIPS, anti-malware, restrict/prevent external devices, spam filters)."
Skill,S0124,Skill in troubleshooting and diagnosing cyber defense infrastructure anomalies and work through resolution.
Skill,S0023,Skill in designing security controls based on cybersecurity principles and tenets.
Skill,S0169,Skill in conducting trend analysis.
Skill,S0063,Skill in collecting data from a variety of cyber defense resources.
Skill,S0305,Skill to access the databases where plans/directives/guidance are maintained.
Skill,S0325,Skill to develop a collection plan that clearly shows the discipline that can be used to collect the information needed.
Skill,S0374,Skill to identify cybersecurity and privacy issues that stem from connections with internal and external customers and partner organizations.
Skill,S0059,Skill in using Virtual Private Network (VPN) devices and encryption.
Skill,S0138,"Skill in using Public-Key Infrastructure (PKI) encryption and digital signature capabilities into applications (e.g., S/MIME email, SSL traffic)."
Skill,S0005,Skill in applying and incorporating information technologies into proposed solutions.
Skill,S0122,Skill in the use of design methods. 
Skill,S0031,Skill in developing and applying security system access controls.
Skill,S0054,Skill in using incident handling methodologies.
Skill,S0080,Skill in performing damage assessments.
Skill,S0365,Skill to design incident response for cloud service models.
Skill,S0175,Skill in performing root cause analysis.
Skill,S0367,"Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation)."
Skill,S0116,Skill in designing multi-level security/cross domain solutions.
Skill,S0139,"Skill in applying security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model)."
Skill,S0238,Skill in information prioritization as it relates to operations.
Skill,S0332,Skill to extract information from available tools and applications associated with collection requirements and collection operations management.
Skill,S0034,"Skill in discerning the protection needs (i.e., security controls) of information systems and networks."
Skill,S0077,Skill in securing network communications.
Skill,S0173,Skill in using security event correlation tools.
Skill,S0007,"Skill in applying host/network access controls (e.g., access control list)."
Skill,S0168,Skill in setting up physical or logical sub-networks that separate an internal local area network (LAN) from other untrusted networks.
Skill,S0170,"Skill in configuring and utilizing computer protection components (e.g., hardware firewalls, servers, routers, as appropriate)."
Skill,S0027,"Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes."
Skill,S0232,Skill in identifying intelligence gaps and limitations.
Skill,S0233,Skill in identifying language issues that may have an impact on organization objectives.
Skill,S0111,Skill in interfacing with customers.
Skill,S0160,"Skill in the use of design modeling (e.g., unified modeling language)."
Skill,S0050,"Skill in design modeling and building use cases (e.g., unified modeling language)."
Skill,S0136,"Skill in network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools."
Skill,S0241,"Skill in interpreting traceroute results, as they apply to network analysis and reconstruction. "
Skill,S0145,Skill in integrating and applying policies that meet system security objectives.
Skill,S0152,"Skill in translating operational requirements into protection needs (i.e., security controls)."
Skill,S0329,Skill to evaluate requests for information to determine if response information exists.
Skill,S0171,Skill in performing impact/risk assessments.
Skill,S0172,Skill in applying secure coding techniques. 
Skill,S0132,Skill in conducting bit-level analysis.
Skill,S0174,Skill in using code analysis tools.
Skill,S0306,Skill to analyze strategic guidance for issues requiring clarification and/or additional guidance.
Skill,S0024,Skill in designing the integration of hardware and software solutions.
Skill,S0135,"Skill in secure test plan design (e. g. unit, integration, system, acceptance)."
Skill,S0061,Skill in writing test plans.
Skill,S0110,"Skill in identifying Test & Evaluation infrastructure (people, ranges, tools, instrumentation) requirements."
Skill,S0112,"Skill in managing test assets, test resources, and test personnel to ensure effective completion of test events."
Skill,S0115,Skill in preparing Test & Evaluation reports.
Skill,S0134,Skill in conducting reviews of systems.
Skill,S0235,Skill in identifying non-target regional languages and dialects
Skill,S0251,Skill in prioritizing target language material.
Skill,S0307,Skill to analyze target or threat sources of strength and morale.
Skill,S0003,"Skill of identifying, capturing, containing, and reporting malware."
Skill,S0022,Skill in designing countermeasures to identified security risks.
Skill,S0044,Skill in mimicking threat behaviors.
Skill,S0364,Skill to develop insights about the context of an organization’s threat environment
Skill,S0036,Skill in evaluating the adequacy of security designs.
Skill,S0078,Skill in recognizing and categorizing types of vulnerabilities and associated attacks.
Skill,S0167,"Skill in recognizing vulnerabilities in security systems. (e.g., vulnerability and compliance scanning)."
Skill,S0083,Skill in integrating black box security testing tools into quality assurance process of software releases.
Skill,S0137,Skill in conducting application vulnerability assessments.
Skill,S0141,Skill in assessing security systems designs.
Skill,S0009,WITHDRAWN: Skill in assessing the robustness of security systems and designs. (See S0027)
Skill,S0150,Skill in implementing and testing network infrastructure contingency and recovery plans.
Skill,S0094,Skill in reading Hexadecimal data.
Skill,S0095,"Skill in identifying common encoding techniques (e.g., Exclusive Disjunction [XOR], American Standard Code for Information Interchange [ASCII], Unicode, Base64, Uuencode, Uniform Resource Locator [URL] encode)."
Skill,S0130,"Skill in writing scripts using R, Python, PIG, HIVE, SQL, etc."
Skill,S0129,Skill in using outlier identification and removal techniques.
Skill,S0058,"Skill in using the appropriate tools for repairing software, hardware, and peripheral equipment of a system."
Skill,S0017,Skill in creating and utilizing mathematical or statistical models.
Skill,S0109,Skill in identifying hidden patterns or relationships.
Skill,S0114,Skill in performing sensitivity analysis.
Skill,S0118,Skill in developing machine understandable semantic ontologies.
Skill,S0119,"Skill in Regression Analysis (e.g., Hierarchical Stepwise, Generalized Linear Model, Ordinary Least Squares, Tree-Based Methods, Logistic)."
Skill,S0123,"Skill in transformation analytics (e.g., aggregation, enrichment, processing)."
Skill,S0125,"Skill in using basic descriptive statistics and techniques (e.g., normality, model distribution, scatter plots)."
Skill,S0028,Skill in developing data dictionaries.
Skill,S0106,"Skill in data pre-processing (e.g., imputation, dimensionality reduction, normalization, transformation, extraction, filtering, smoothing)."
Skill,S0113,Skill in performing format conversions to create a standard representation of the data.
Skill,S0126,"Skill in using data analysis tools (e.g., Excel, STATA SAS, SPSS)."
Skill,S0127,Skill in using data mapping tools.
Skill,S0369,"Skill to identify sources, characteristics, and uses of the organization’s data assets."
Skill,S0002,Skill in allocating storage capacity in the design of data management systems.
Skill,S0042,"Skill in maintaining databases. (i.e., backup, restore, delete data, transaction log files, etc.)."
Skill,S0045,Skill in optimizing database performance.
Skill,S0013,Skill in conducting queries and developing algorithms to analyze data structures.
Skill,S0037,Skill in generating queries and reports.
Skill,S0043,"Skill in maintaining directory services. (e.g., Microsoft Active Directory, LDAP, etc.)."
Skill,S0011,Skill in conducting information searches.
Skill,S0040,"Skill in implementing, maintaining, and improving established network security practices."
Skill,S0153,"Skill in identifying and anticipating system/server performance, availability, capacity, or configuration problems."
Skill,S0155,Skill in monitoring and optimizing system/server performance.
Skill,S0146,"Skill in creating policies that enable systems to meet performance objectives (e.g. traffic routing, SLA's, CPU specifications)."
Skill,S0035,Skill in establishing a routing schema.
Skill,S0162,"Skill in applying various subnet techniques (e.g., CIDR)"
Skill,S0012,"Skill in conducting knowledge mapping (e.g., map of knowledge repositories)."
Skill,S0049,Skill in the measuring and reporting of intellectual capital.
Skill,S0029,Skill in developing data models.
Skill,S0103,Skill in assessing the predictive power and subsequent generalizability of a model.
Skill,S0041,"Skill in installing, configuring, and troubleshooting LAN and WAN components such as routers, hubs, and switches."
Skill,S0033,Skill in diagnosing connectivity problems.
Skill,S0158,"Skill in operating system administration. (e.g., account maintenance, data backups, maintain system performance, install and configure new hardware/software)."
Skill,S0010,Skill in conducting capabilities and requirements analysis.
Skill,S0149,"Skill in developing applications that can log and handle errors, exceptions, and application faults and logging."
Skill,S0016,Skill in configuring and optimizing software.
Skill,S0014,Skill in conducting software debugging.
Skill,S0143,"Skill in conducting system/server planning, management, and maintenance."
Skill,S0144,Skill in correcting physical and technical problems that impact system/server performance.
Skill,S0151,"Skill in troubleshooting failed system components (i.e., servers)"
Skill,S0154,"Skill in installing system and component upgrades. (i.e., servers, appliances, network devices)."
Skill,S0157,"Skill in recovering failed systems/servers. (e.g., recovery software, failover clusters, replication, etc.)."
Skill,S0039,Skill in identifying possible causes of degradation of system performance or availability and initiating actions needed to mitigate this degradation.
Skill,S0142,Skill in conducting research for troubleshooting novel client-level problems.
Skill,S0140,Skill in applying the systems engineering process.
Skill,S0148,"Skill in designing the integration of technology processes and solutions, including legacy systems and modern programming languages. "
Skill,S0019,"Skill in creating programs that validate and process multiple inputs including command line arguments, environmental variables, and input streams."
Skill,S0015,Skill in conducting test events.
Skill,S0021,"Skill in designing a data analysis structure (i.e., the types of data a test must generate and how to analyze that data)."
Skill,S0026,Skill in determining an appropriate level of test rigor for a given system.
Skill,S0030,Skill in developing operations-based testing scenarios.
Skill,S0048,Skill in systems integration testing.
Skill,S0082,Skill in evaluating test plans for applicability and completeness.
Skill,S0104,Skill in conducting Test Readiness Reviews.
Skill,S0107,Skill in designing and documenting overall program Test & Evaluation strategies.
Skill,S0117,Skill in providing Test & Evaluation resource estimate.
Skill,S0008,Skill in applying organization-specific systems analysis principles and techniques.
Skill,S0159,Skill in configuring and validating network workstations and peripherals in accordance with approved standards and/or specifications.
Skill,S0343,"Skill to orchestrate intelligence planning teams, coordinate collection and production support, and monitor status."
Skill,S0311,"Skill to apply the capabilities, limitations and tasking methodologies of available platforms, sensors, architectures and apparatus as they apply to organization objectives."
Skill,S0313,"Skill to articulate a needs statement/requirement and integrate new and emerging collection capabilities, accesses and/or processes into collection operations."
Skill,S0324,Skill to determine feasibility of collection.
Skill,S0327,Skill to ensure that the collection strategy leverages all available resources. 
Skill,S0330,"Skill to evaluate the capabilities, limitations and tasking methodologies of organic, theater, national, coalition and other collection capabilities. "
Skill,S0334,"Skill to identify and apply tasking, collection, processing, exploitation and dissemination to associated collection disciplines. "
Skill,S0336,Skill to identify when priority information requirements are satisfied.
Skill,S0339,"Skill to interpret readiness reporting, its operational relevance and intelligence collection impact."
Skill,S0347,Skill to review performance specifications and historical information about collection assets.
Skill,S0351,"Skill to translate the capabilities, limitations and tasking methodologies of organic, theater, national, coalition and other collection capabilities."
Skill,S0352,Skill to use collaborative tools and environments for collection operations.
Skill,S0337,Skill to implement established procedures for evaluating collection management and operations activities.
Skill,S0346,Skill to resolve conflicting collection requirements.
Skill,S0348,Skill to specify collections and/or taskings that must be conducted in the near term.
Skill,S0353,Skill to use systems and/or tools to track collection requirements and determine if they are satisfied.
Skill,S0318,Skill to conceptualize the entirety of the intelligence process in the multiple domains and dimensions.
Skill,S0195,Skill in conducting research using all available sources.
Skill,S0198,Skill in conducting social network analysis.
Skill,S0215,Skill in evaluating and interpreting metadata.
Skill,S0362,"Skill to analyze and assess internal and external partner organization capabilities and limitations (those with tasking, collection, processing, exploitation and dissemination responsibilities)."
Skill,S0179,Skill in analyzing language processing tools to provide feedback to enhance tool development.
Skill,S0316,Skill to associate Intelligence gaps to priority information requirements and observables.
Skill,S0335,Skill to identify Intelligence gaps.
Skill,S0272,Skill in reviewing and editing intelligence products from various sources for cyber operations.
Skill,S0310,Skill to apply analytical standards to evaluate intelligence products.
Skill,S0320,Skill to coordinate the development of tailored intelligence products.
Skill,S0321,Skill to correlate intelligence priorities to the allocation of intelligence resources/assets.
Skill,S0210,Skill in developing intelligence reports.
Skill,S0212,Skill in disseminating items of highest intelligence value in a timely manner.
Skill,S0193,Skill in complying with the legal restrictions for targeted information.
Skill,S0328,"Skill to evaluate factors of the operational environment to objectives, and information requirements."
Skill,S0314,Skill to articulate intelligence capabilities available to support execution of the plan.
Skill,S0315,Skill to articulate the needs of joint planners to all-source analysts.
Skill,S0344,"Skill to prepare and deliver reports, presentations and briefings, to include using visual aids or presentation technology."
Skill,S0331,Skill to express orally and in writing the relationship between intelligence capability limitations and decision-making risk and impacts on the overall operation.
Skill,S0317,Skill to compare indicators/observables with requirements.
Skill,S0308,Skill to anticipate intelligence capability employment requirements.
Skill,S0319,Skill to convert intelligence requirements into intelligence production tasks.
Skill,S0345,Skill to relate intelligence resources/assets to anticipated intelligence requirements.
Skill,S0323,Skill to create and maintain up-to-date planning documents and tracking of services/production.
Skill,S0338,Skill to interpret planning guidance to discern level of analytical support required.
Skill,S0350,Skill to synchronize planning activities and required intelligence support.
Skill,S0342,"Skill to optimize collection system performance through repeated adjustment, testing, and re-adjustment."
Skill,S0340,Skill to monitor target or threat situation and environmental factors.
Skill,S0188,"Skill in assessing a target's frame of reference (e.g., motivation, technical capability, organizational structure, sensitivities)."
Skill,S0224,Skill in gisting target communications.
Skill,S0226,Skill in identifying a target's network characteristics. 
Skill,S0253,"Skill in providing analysis on target-related matters (e.g., language, cultural, communications)."
Skill,S0265,Skill in recognizing technical information that may be used for target development including intelligence development. 
Skill,S0283,Skill in transcribing target language communications.
Skill,S0284,Skill in translating target graphic and/or voice language materials.
Skill,S0341,Skill to monitor threat effects to partner capabilities and maintain a running estimate.
