,job_title,role,description
404,Cybersecurity Risk Manager (Remote Work Schedule),manager,freddie mac important build better housing finance system part team helping make homeownership rental housing accessible affordable across nation employee contingent worker visitor longer required show proof vaccination effective january freddie hybrid arrangement day office specifically tuesday wednesday thursday position overview passionate cybersecurity technical risk offer exciting career opportunity allows rewarding newest technology growing cybersecurity risk management skillsets apply learn moreatfreddiemac position performed remote location must within time zone differential est impact part freddie enterprise risk management erm information risk management team provides line defense oversight cybersecurity identity access management iam effort looking team member support development validation monitoring cyber security capability impact cybersecurity subject matter expert cybersecurity risk domain provide oversight challenge function information security program division line business review information security operation identify risk evaluate effectiveness completeness cybersecurity capability report finding enhancement opportunity enhance mature risk management practice supporting development cybersecurity policy standard provide oversight advisory service line partner regarding application standard requirement across wide variety technology manage risk support development execution control monitor cybersecurity compliance drive organizational change develop effective measurable metric kri kpi kci analyze data proactively identify trend risk execute risk analytics reporting provide advisory consultation line business make course action recommendation manage risk oversight effectively challenge line defense technology team collaborating line defense internal line partner collaborate key risk area business partner counterpart design action plan address cybersecurity iam risk autonomously lead program execution documented project plan expectation schedule provide status report escalation impediment resolution needed support director leading managing team mentor guide team member qualification degree year working auditing security area penetration testing operation threat intelligence monitoring vulnerability management identity access management key certificate management security engineering large enterprise industry leading certification preferred cissp cisa crisc cism ceh cipt prior cybersecurity operational risk management supporting ciso deployment sustainment cybersecurity capability previous big four preferred knowledge cloud migration security access management preferred demonstrate proficiency stated cybersecurity domain working knowledge industry security standard guidance nist iso capable working independently collaborative team deliver effective verbal written interpersonal communication skill strong attention detail key success role think broadly analytically developing solution ambiguous fast paced environment ability understand diverse group partner within line defense demonstrable privacy data management result oriented problem solver able prioritize without heavy supervision current freddie mac employee please apply internal career site today freddie mac make home possible one four home borrower one largest source financing multifamily housing join smart creative dedicated team important housing finance system make difference life others equal opportunity employer value diversity inclusion company discriminate basis race religion color national origin gender sexual orientation age marital status veteran status disability status characteristic protected applicable law ensure individual differing ability provided reasonable accommodation participate job application interview process perform essential job function receive benefit privilege employment please contact u request accommodation notice external search firm freddie mac partner bountyjobs contingency search business outside firm resume received outside bountyjobs system considered unsolicited freddie mac obligated pay placement fee interested learning please visit register referral code mac full time job category risk flsa status exempt freddie mac provides anticipated base salary range required law apply job click apply show le
405,Project/Program Manager - Level 3- Remote,manager,contract role manager level remote client hartford ct please let know friend would interested position position title manager level remote hartford ct location remote hartford ct duration year job description u state connecticut embarking upon digital transformation uplift life resident business employee goal improve access program service making interaction government easier join connecticut digital service part team creating simple personalized everyone enjoy solving complex problem curious supportive team state connecticut place product execution thrive planning discovery development testing analyzing product lifecycle data obsessed driven experiment creating finding success measure embrace change think outside box want understand perspective others interpret validate data role agile project manager support project team focused driving digital product lifecycle feature product improving overall online state agile project manager develop new process methodology product development leadership consistent goal objective new connecticut digital service support digital product manager managing project scope schedule project status report change management governance role identification business communication stakeholder required role project planning management least year use case following defining project scope schedule focusing regular timely delivery value ensuring sprint completed organizing leading project status working meeting preparing distributing progress report communicating plan deviation performing delivery planning assigned project defining managing project management process championing ongoing process improvement initiative management mitigation least year use case following identifying mitigating plan resolving issue keep project moving proactively avoiding risk ensuring team meet required policy making recommendation continuous improvement product owner support least year use case following supporting product owner managing expectation project deliverable managing stakeholder communication helping implement effective system project governance team management team building least year use case following assisting team development holding team accountable commitment removing roadblock assigning task individual balancing workload across team leveraging organizational resource improve team individual capacity project ensuring team member fully engaged project making meaningful contribution encouraging sustainable pace motivating team member digital platform tool discipline least year use case following working enterprise scale digital platform specializing least service delivery web content management customer relationship management identity data integration establishing continuous pipeline continually improve product based customer research feedback leading documentation communication throughout product lifecycle technical process team affected new change using productivity communication analysis tool manage iterative delivery google analytics git repository microsoft team microsoft office word powerpoint excel knowledge skill ability project management jira confluence developing supporting modern agile product project management process establishing project environment necessary operate high performing team partnership stakeholder building clearly communicating vision strategy roadmap resource required delivery scoping prioritization translation technical design task delivery plan task management performance complex situation communication collaboration partner clearing challenge team member comfort blazing path ambiguous environment judgement fitting environment ability juggle multiple project workstreams service design team building supporting teammate skill behavior development delivery balance strong domain expertise flexibility prioritization organization triage independent environment encouraging interactive cooperative collaborative environment ability maintain strict confidentiality judgement dealing effectively diplomatically level government staff preferred skill qualification desirable skill year design year user research analytics year year customer relationship management platform salesforce year web content management platform sitecore job type contract benefit health insurance schedule hour shift scrum year preferred pmp preferred location remote show le
406,Project Manager - Identity and Access Management (Mid-Atlantic),manager,guidepoint security provides trusted cybersecurity expertise solution service help organization make better decision minimize risk taking holistic approach evaluating security posture ecosystem guidepoint enables nation top organization fortune company government agency identify threat optimize resource integrate solution mitigate risk guidepoint security project manager managing unique portfolio security focused professional service engagement directly contribute client goal success position working home office possible travel position may also require serving client side billable resource project management service delivery hiring smart experienced motivated identity access management iam project manager join pmo iam project manager working highly dynamic team help successful delivery project help empower result client delivering innovative effective solution working fast paced environment information assurance practice partnering initiative region team comprised hard working professional like looking project manager thrive environment user pm skill immersed technology well role responsibility plan overall program define project oversee multiple identity project team communicate pmo practice leadership weekly regarding status update strategy provide leadership direction project team comprised engineer architect business analyst project sponsor architect engineer develop project roadmaps responsible communication including status project health ensures project delivered within schedule scope responsible risk management escalation issue resolved team consult stakeholder gather document requirement specification solution enhancement gather analyze data multiple source develop report key risk indicator define execution plan approach based project scope expected timeline available document maintain program related training awareness material communication manage combination waterfall development effort initial analysis design development testing deployment maintenance manage operation program office po responsible monitoring maximizing key cost schedule performance metric ensure project management process practice followed drive simplification improvement necessary ensure quality deliverable verified matching stakeholder expectation track project outcome realization customer satisfaction level established metric service level ensure lesson learned collected requirement year project management large scale project enterprise level year working identity management space year project management business analysis using structured methodology previous authentication identity access management project preferred pmi certification preferred pmp etc understanding active directory ldap access management ciam identity governance privileged access management highly preferred hand using microsoft project smartsheets strong coordinating planning delivering project roadmaps timeline agile waterfall methodology developing presenting metric performance large program preferred managing process improvement software development project analyzing documenting business requirement interfacing application developer proficient using microsoft office product word excel powerpoint project visio guidepoint guidepoint security rapidly growing profitable value added reseller focus exclusively information security since inception guidepoint grown employee established strategic partnership leading security vendor serf trusted advisor customer core value drive aspect business paramount company success establishment enjoyable workplace atmosphere guidepoint colleague knowledgeable skilled experienced seek collaborate provide mentorship guidance every opportunity unique rare opportunity grow career along one fastest growing company nation added remote workforce primarily based travel may required certain position working may required federal position medical dental premium generous employer family contribution corporate holiday flexible time fto program healthy mobile phone home internet allowance eligibility retirement plan month open enrollment pet care plan show le
407,Fully Remote - Technical Project Manager (Identity & Access Management),manager,day day client human centered emerging technology analytics company focusing federal solution looking hire icam technical project manager team position support leadership federal agency developing solution providing service focused solving complex national security issue seeking senior resource lead team developing application performing technical research emerging technology position expected almost fully remote person meeting may required tyson reston va responsibility serf technical advisor client providing industry insight technology trend best practice solution concept directly related mission need document present technical project brief client manager stakeholder oversees application development team initiative guidance cto responsible quality timeline team deliverable manages development delivery multiple project ranging rapid prototyping production delivery provides technical leadership system design architecture phase project implement manages software development best practice agile covid vaccination must bachelor degree year project management must technical development project supporting federal government detailed proven expirence executing project related upgrading developing system identidty credential access management icam currently posse security clearance plus ims job type pay per year benefit k k matching dental insurance flexible schedule health insurance paid time vision insurance schedule hour shift monday friday application question ability obtain public trust clearance live commutable distance northern va area education bachelor preferred technical project management year preferred identity access management year preferred location remote apply click easy apply show le report
408,Technology Manager - Identity & Access Management,manager,consumer business digital banking retail banking business banking consumer lending mortgage digital banking business define far reaching technology strategy evolve customer make u easier business deliver solution deliver real value includes core consumer deposit loan payment processing servicing platform core channel system retail branch atm call center custom built online mobile banking platform marketing ecosystem capability overview lead team professional architect implement operate iam strategy inclusive staying current latest identity management trend understanding business requirement opportunity automation productivity gain evaluating technology meet strategic goal instituting continuous improvement model mature iam program primary responsibility restful apis including openapi documentation sso saml jwt openid connect mfa rsa session management role based access control acls siem fundamental cybersecurity concept manage ciam capability primarily ping suite product pingonemfa ping directory pingaccess pingfederate pingverify pingauthorize etc cloud infrastructure participate developing defining vision strategy framework roadmaps enterprise customer identity access management manage system integration including event driven architecture manage technical deliverable customer identity access management capability including authentication entitlement identity validation sso mfa pam privileged access etc review develops test implement security plan product control technique serve people manager mentor iam team member help develop ciam delivery skill capability move needle toward zero trust architecture unified customer identity unified enterprise logon lead technical business stakeholder conversation align ciam process capability across different line business channel help develop standard organizational use education required minimum associate degree year technology system lieu degree combined minimum year higher education including minimum year technology system education preferred bachelor degree minimum year technology management large program leadership location buffalo new york united state america show le
409,"Manager, Fraud and Risk Management, Cyber and Intelligence Solutions",manager,purpose connect power inclusive digital economy benefit everyone everywhere making transaction safe simple smart accessible using secure data network partnership passion innovation solution help individual financial institution government business realize greatest potential decency quotient dq drive culture everything inside outside company cultivate culture inclusion employee respect individual strength view believe difference enable u better team one make better decision drive innovation delivers better business result job title manager fraud risk management cyber intelligence solution manager fraud risk management cyber intelligence solution overview cyber intelligence c team responsible product management innovative product development product service address evolving risk security need mastercard various customer segment c team established responsibility integrate aspect safety security intelligence payment made great stride new product service standard positively impacting aspect current future payment manager fraud risk management focus advancing broader resiliency suite service setting managing fraud risk strategy across resiliency platform resiliency platform issuer focused suite authorization service requiring embedded fraud prevention risk management role requires close collaboration c team engineering product owner well partnership region operation technology manager need innovative demonstrated role maintain principal responsibility strategy identification management enhancement fraud risk prevention rule securing authorization within payment resiliency platform analyze network system data identify opportunity enhance refine business rule ensure optimal performance overall customer satisfaction generate reporting metric gauge monitor individual overall performance solution individual customer needed leverage team system process required prioritize proactively address customer performance improvement need measure customer satisfaction remain relevant latest fraud trend industry establish fraud reporting connection payment resiliency suite service demonstrated track record achieving business target building business relationship financial institution risk strategy related card product strongly desired expertise authoring analyzing fraud rule required rule authoring boolean logic sql desired understanding key business driver performance metric relates fraud management ability translate analysis actionable business rule business acumen ability provide solution drive positive result customer mastercard ability think act creatively develop implement solution benefit mastercard customer ability interact coordinate effectively internal external business partner superior oral written communication problem solving product documentation product development skill demonstrated leadership taking accountability acting sense urgency demonstrated ability establish priority independently pressure limited supervisionin u mastercard inclusive equal employment opportunity employer considers applicant without regard gender gender identity sexual orientation race ethnicity disabled veteran status characteristic protected law require accommodation assistance complete online application process please contact identify type accommodation assistance requesting include medical health information email reasonable accommodation team respond email promptly corporate security responsibility activity involving access mastercard asset information network come inherent risk organization therefore expected every person working behalf mastercard responsible information security must abide mastercard security policy practice ensure confidentiality integrity information accessed report suspected information security violation breach complete periodic mandatory security training accordance mastercard guideline nyc salary range westchester county salary range apply job click apply show le report
410,"VP, Engineering",manager,maven largest virtual clinic woman family health offering continuous holistic care fertility family building maternity parenting pediatrics menopause maven digital program trusted leading employer health plan reduce cost drive better maternal health outcome well enhance de benefit program founded ceo kate ryder maven recognized fast company innovative health company grown million life covered maven raised million funding leading investor including general catalyst sequoia oak dragoneer investment group lux capital culture working towards important mission maven clinic recipient workplace innovation award including fast company best workplace innovator fortune best workplace ny great place certified best workplace cnbc disruptor list built nyc best paying company built advocacy award team maven looking vice president engineering scaling engineering organization collaborate svp engineering execute inspiring strategic technical vision defining engineering role meeting maven goal lead engineering management team ensuring right resource system tool set success functional leadership across organization developing particularly strong relationship product design care provider operation ensure engineering synergy deliver software product scale make mission reality skill accountable develop strategy area engineering org capable delivering business priority supporting growing team investing scalable technology set achieve hiring goal build efficient onboarding new team member rapidly scale meet market demand build pathway career progression enabling engineer grow evangelize job architecture ensure clarity opportunity engineer maven execute developing secure compliant system maven user customer partnering closely legal building security function meet need healthcare organization build team within area engineering deliver high quality software minimizing defect reach customer monitoring observability incident response process drive improvement organize foster agile environment delivers using best practice architecture security compliance personal passion develop staffing logic strategic workforce plan collaboration rest engineering leadership svp engineering partnership svp engineering peer direct report implement appropriate metric measure motivate productivity engagement across engineering facilitate collaboration engineering product team solving exciting challenging problem across platform build current strategy attract hire engage retain diverse talent effectively communicate plan roadblock update functional leadership across maven minimum qualification year leading managing coaching area engineering organization deliver high quality software preferably high growth startup environment scaling engineering organization built managed team building scalable technical architecture maintaining complex system fostering culture accountability building process enable productive team predictable development partnering engineering leadership functional leader drive company strategy planning strong written verbal communication skill attracting hiring engaging retaining diverse talent building maintaining complex set system working product leadership deliver time target working within form privacy security regulatory constraint candidate nyc co salary range role per year may also entitled receive bonus stock option benefit individual pay decision based number factor including qualification role level skillset maven believe diverse set background enrich team allow u achieve beyond goal area detailed hope share unique background u application additive team benefit perk reimagining supportive workplace look like inside top standard health dental insurance plan option generous pto offer inclusive approach benefit maven maven access full platform specialist including care everything mental health reproductive health family planning pediatrics care wellness partnership weekly breakfast lunch week paid parental leave flexible time upon return month new parent stipend maven u least six month udemy annual professional development stipend access personal career coach maven matching employee immediately vesting benefit applicable maven clinic employee provider ineligible benefit maven creating safe inclusive environment top priority going office joining event please note maven requires employee vaccinated received bivalent booster maven affirmative action equal opportunity employer qualified applicant receive consideration employment without regard race color religion sex disability age sexual orientation gender identity national origin veteran status genetic information maven committed providing access equal opportunity reasonable accommodation individual disability employment service program activity maven clinic interview request job offer originate email address jsmith maven clinic never ask sensitive information delivered email phone show le report
411,Product Owner / Manager - Identity and Access Management,manager,job description team operates business partner proposing idea innovative solution enable new organizational capability collaborate internationally deliver service solution help everyone productive enable innovation organization partner closely company research development r org provide innovative solution enable new product capability within research development collaborate internationally deliver service solution help everyone productive enable innovation enable seeking product owner company clinical data layer partner r orgs define roadmap prioritize backlog central contact business scum team responsibility part product leadership team manage entire product development process research determine business need determine feature include determine metric measure success define product vision mission okrs act primary contact scrum team stakeholder collaborate closely scrum squad ensure product meet objective outlined stakeholder primary responsibility owns manages product duration product lifecycle defines overall product vision strategy keen focus value business outcome user make product decision ensures decision align product strategy develops regularly calibrates metric product drive continuous product discovery understand user need translate solution product backlog set communicates roadmap commitment assessed collaboratively delivery squad term value feasibility usability viability define measure product okrs act primary contact scrum team stakeholder monitor optimizes product total cost ownership tco prerequisite year information technology year supporting identity access management iam space year product management proficiency use identity access management tool technology good understanding identity access management concept latest trend iam space ability architect solution streamline complex iam challenge scale familiarity cutting edge tool used cloud saas environment familiarity healthcare sector regulatory landscape demand specific control iam space ability prioritize effectively excellent knowledge design principle excellent oral written communication ability large team understanding design quality standard familiarity jenkins bitbucket jira confluence okrs managing geographically distributed squad preferred different delivery method agile traditional large organization product management technique strategy road mapping etc aligning organization communicating complex technical decision skill year leading program agile scrum project methodology demonstrated leadership leading team influence strong analytical thinker skill minimum education support function deliver service make recommendation way enhance workplace culture organization support function include hr finance information technology legal procurement administration facility security known merck rahway new jersey usa united state canada msd everywhere else century inventing life bringing forward medicine vaccine many world challenging disease today company continues forefront research deliver innovative health solution advance prevention treatment disease threaten people animal around world look imagine getting morning job important helping save improve life around world opportunity put empathy creativity digital mastery scientific genius collaboration diverse group colleague pursue bring hope countless people battling challenging disease time team constantly evolving among intellectually curious join start making impact today notice internal applicant accordance manager policy job posting employee placement employee subject policy required minimum twelve month service current position prior applying open position offered separation benefit package yet reached separation date offered position within salary geographical parameter set forth summary plan description spd separation package longer eligible separation benefit package discus detail please contact hrbp talent acquisition advisor mrlitpm position located united state puerto rico subject applicable law new hire including internal transfer must demonstrate fully vaccinated qualify medical religious exemption vaccination requirement new hire including internal transfer position determined company requires routine collaboration external stakeholder role health service commercial role role vaccinated must qualify medical religious exemption position company determines accommodate unvaccinated employee without causing undue burden business operation following dialog candidate appropriate determined candidate either qualify religious medical exemption b candidate applying role determined allowing candidate without vaccination would cause undue burden company candidate ineligible hire transfer offer employment transfer applicable revoked please note notwithstanding approval reasonable accommodation company reserve right monitor modify revoke accommodation determined following dialog employee accommodation longer effective result undue burden company u puerto rico resident company committed inclusion ensuring candidate engage hiring process exhibit true capability please click need accommodation application hiring process pay transparency nondiscrimination proud company embrace value bringing diverse talented committed people together fastest way breakthrough innovation diverse idea come together inclusive environment encourage colleague respectfully challenge one another thinking approach problem collectively equal opportunity employer committed fostering inclusive diverse workplace new york city law company required provide reasonable estimate salary range job final determination respect salary take account number factor may include limited primary location chosen candidate relevant skill education expected salary range search firm representative please read carefully merck rahway nj usa also known merck sharp dohme llc rahway nj usa accept unsolicited assistance search firm employment opportunity cv resume submitted search firm employee company without valid written search agreement place position deemed sole property company fee paid event candidate hired company result agency referral agreement place agency agreement place introduction position specific please phone call email employee status regular relocation relocation visa sponsorship travel requirement flexible arrangement hybrid remote shift valid driving license hazardous material number opening requisition id show le report
412,Product Owner / Manager - Identity and Access Management,manager,job description team operates business partner proposing idea innovative solution enable new organizational capability collaborate internationally deliver service solution help everyone productive enable innovation organization partner closely company research development r org provide innovative solution enable new product capability within research development collaborate internationally deliver service solution help everyone productive enable innovation enable seeking product owner company clinical data layer partner r orgs define roadmap prioritize backlog central contact business scum team responsibility part product leadership team manage entire product development process research determine business need determine feature include determine metric measure success define product vision mission okrs act primary contact scrum team stakeholder collaborate closely scrum squad ensure product meet objective outlined stakeholder primary responsibility owns manages product duration product lifecycle defines overall product vision strategy keen focus value business outcome user make product decision ensures decision align product strategy develops regularly calibrates metric product drive continuous product discovery understand user need translate solution product backlog set communicates roadmap commitment assessed collaboratively delivery squad term value feasibility usability viability define measure product okrs act primary contact scrum team stakeholder monitor optimizes product total cost ownership tco prerequisite year information technology year supporting identity access management iam space year product management proficiency use identity access management tool technology good understanding identity access management concept latest trend iam space ability architect solution streamline complex iam challenge scale familiarity cutting edge tool used cloud saas environment familiarity healthcare sector regulatory landscape demand specific control iam space ability prioritize effectively excellent knowledge design principle excellent oral written communication ability large team understanding design quality standard familiarity jenkins bitbucket jira confluence okrs managing geographically distributed squad preferred different delivery method agile traditional large organization product management technique strategy road mapping etc aligning organization communicating complex technical decision skill year leading program agile scrum project methodology demonstrated leadership leading team influence strong analytical thinker skill minimum education support function deliver service make recommendation way enhance workplace culture organization support function include hr finance information technology legal procurement administration facility security known merck rahway new jersey usa united state canada msd everywhere else century inventing life bringing forward medicine vaccine many world challenging disease today company continues forefront research deliver innovative health solution advance prevention treatment disease threaten people animal around world look imagine getting morning job important helping save improve life around world opportunity put empathy creativity digital mastery scientific genius collaboration diverse group colleague pursue bring hope countless people battling challenging disease time team constantly evolving among intellectually curious join start making impact today notice internal applicant accordance manager policy job posting employee placement employee subject policy required minimum twelve month service current position prior applying open position offered separation benefit package yet reached separation date offered position within salary geographical parameter set forth summary plan description spd separation package longer eligible separation benefit package discus detail please contact hrbp talent acquisition advisor resident colorado mrlitpm position located united state puerto rico subject applicable law new hire including internal transfer must demonstrate fully vaccinated qualify medical religious exemption vaccination requirement new hire including internal transfer position determined company requires routine collaboration external stakeholder role health service commercial role role vaccinated must qualify medical religious exemption position company determines accommodate unvaccinated employee without causing undue burden business operation following dialog candidate appropriate determined candidate either qualify religious medical exemption b candidate applying role determined allowing candidate without vaccination would cause undue burden company candidate ineligible hire transfer offer employment transfer applicable revoked please note notwithstanding approval reasonable accommodation company reserve right monitor modify revoke accommodation determined following dialog employee accommodation longer effective result undue burden company current employee current contingent worker u puerto rico resident company committed inclusion ensuring candidate engage hiring process exhibit true capability information personal right equal employment opportunity visit eeoc poster eeoc gina supplement ofccp eeo supplement pay transparency nondiscrimination proud company embrace value bringing diverse talented committed people together fastest way breakthrough innovation diverse idea come together inclusive environment encourage colleague respectfully challenge one another thinking approach problem collectively equal opportunity employer committed fostering inclusive diverse workplace new york city law company required provide reasonable estimate salary range job final determination respect salary take account number factor may include limited primary location chosen candidate relevant skill education expected salary range search firm representative please read carefully merck rahway nj usa also known merck sharp dohme llc rahway nj usa accept unsolicited assistance search firm employment opportunity cv resume submitted search firm employee company without valid written search agreement place position deemed sole property company fee paid event candidate hired company result agency referral agreement place agency agreement place introduction position specific please phone call email employee status regular relocation relocation visa sponsorship travel requirement flexible arrangement hybrid remote shift valid driving license hazardous material number opening requisition id show le report
413,Identity and Access Management Manager- Remote,manager,job description job summary cybersecurity identity access management csiam integral part office chief information security officer ociso play vital role designing solution enhance protective model mbi advancing global security posture define critical strategic defense layer needed enable capability safeguarding mbi intellectual property informational resource investigate recommend technical solution encompassing regulatory compliance defined cybersecurity goal achieving cohesive solution designed continuously improve control evolving threat risk align csiam ensuring support across business objective ultimately driving comprehensive solution adhering principal support executing mbi investment role oversee design deployment aspect michael baker international enterprise identity access management iam stack well ensure security policy best practice followed infrastructure deployment collaborate cio team help elevate cybersecurity understanding provide guidance driving increased cybersecurity capability integration across platform continuously examine method improve including ai enabled ecosystem focused safeguarding data across multiple platform instance endpoint view think outside traditional box mbi protects threat manages security risk internal stakeholder client provide strategic cloud cybersecurity enabling innovation goal objective preferred location pittsburgh pa alexandria va open location essential duty responsibility lead cybersecurity identity access management iam effort provide technical vision ensuring visibility policy enforcement detection protection element integrated solution lead effort securing mbi cloud environment microsoft azure amazon aws deep knowledge iam discipline approach driving consistency across solution role based access control rbac principle closely organization across business driving cybersecurity requirement across solution rbac tool azure aws well serf technical subject matter sme security matter support development cybersecurity technical roadmaps documentation drive constant cyber transformation improvement mbi capability collaborate using information knowledge sharing network professional relationship achieve common goal provide insight support ciso leadership defining mbi overall security roadmap support business planning requirement investment case definition direct implementation security measure review evaluate design operational effectiveness security control countermeasure used protect mbi application service solution review security technology tool service make recommendation use based security financial operational criterion participate change control process identify mitigate impact information security control preferred professional requirement degree computer science information system related field equivalent year combined security architecture development implementation broad exposure environment deploying iam solution like sailpoint okta thycotic cyberark similar technology clear expertise implementing solution defense industrial base dib member previous current relationship dsie ndisac member company peer engineer strong understanding information security appropriate use enforcement technology solution strong understanding advanced malware mobile device cloud security management structured unstructured database encryption mobile application remote api security application authorization access control security event visualization big data user entity behavior analytics active adversary deception strong working understanding contemporary security theory application including vulnerability exploitation technique attack vector strong understanding system development lead project initiative strong familiarity federal compliance standard nist fips fedramp knowledge law regulation standard relevant u government defense industrial base dib industry design build architecture solution ensuring visibility policy enforcement scalability maximizing capability open mind regarding technical solution allegiance towards particular vendor rather knowledge required capability functional operation one industry recognized certification giac cyber defense cisco certified network professional security ccnp security certified information system security professional information system security engineering professional compensation salary range position dependent expertise incoming candidate benefit offer comprehensive benefit package including medical dental vision insurance retirement plan health saving account hsa flexible spending account fsa life ad disability professional personal development generous paid time commuter wellness benefit michael baker international eeo statement michael baker international proud affirmative opportunity employer michael baker international provides equal employment opportunity person facet employment michael baker international maintains workplace performs substance abuse testing background check encourage qualified applicant apply open position feel qualified receive consideration employment without regard race color religion age gender sexual orientation gender identity national origin citizenship status marital status genetic information disability protected veteran status legally protected status eeo law applicant employee michael baker international protected federal law discrimination u michael baker international leading provider engineering consulting service including design planning architectural environmental construction program management solving complex infrastructure challenge year legacy expertise innovation integrity based pittsburgh nearly office nationwide partner client everything road bridge tunnel mass transit airport water treatment plant arctic oil pipeline environmental restoration specialized overseas construction serve trusted adviser community serve making safer accessible sustainable prosperous provide visionary leadership facilitating transformational change client delivers differentiating innovation dedicated expert challenge status quo share world diverse impassioned entrepreneurial spirit deliver quality life make difference michael baker international proud affirmative opportunity employer michael baker international provides equal employment opportunity person facet employment michael baker international maintains workplace performs substance abuse testing background check covered federal contractor michael baker international required comply executive order ensuring adequate covid safety protocol federal contractor implementing guideline federal vaccine mandate found valid enforceable include ensuring covered employee fully vaccinated except limited circumstance legal entitlement accommodate addition may subject current future state local vaccine mandate could become condition employment based upon location involvement project accordingly michael baker encourages provide satisfactory proof fully vaccinated ensure compliance potential applicable federal state local law encourage qualified applicant apply open position feel qualified receive consideration employment without regard race color religion age gender sexual orientation gender identity national origin citizenship status marital status genetic information disability protected veteran status legally protected status eeo law applicant employee michael baker international protected federal law discrimination show le
